取引id,顧客id,商品id,個数,合計金額,取引日時
T0082,C004,P007,1,690,2025-05-17 17:12:00
T0055,C007,P010,1,480,2025-05-18 14:31:00
T0055,C007,P001,1,780,2025-05-18 14:31:00
T0015,C010,P005,1,1580,2025-05-24 19:00:00
T0029,C008,P004,1,1200,2025-05-25 10:31:00
T0029,C008,P011,2,17800,2025-05-25 10:31:00
T0028,C010,P005,2,3160,2025-05-25 16:23:00
T0028,C010,P018,3,14700,2025-05-25 16:23:00
T0028,C010,P014,2,7600,2025-05-25 16:23:00
T0028,C010,P011,1,8900,2025-05-25 16:23:00
T0011,C002,P020,1,6800,2025-05-26 19:31:00
T0011,C002,P005,1,1580,2025-05-26 19:31:00
T0011,C002,P019,1,2600,2025-05-26 19:31:00
T0075,C007,P011,1,8900,2025-05-27 13:05:00
T0075,C007,P008,1,540,2025-05-27 13:05:00
T0083,C009,P013,5,28000,2025-05-27 16:05:00
T0053,C009,P019,2,5200,2025-05-29 19:58:00
T0050,C002,P019,1,2600,2025-05-31 19:12:00
T0092,C001,P012,2,4800,2025-06-01 14:31:00
T0092,C001,P016,2,3800,2025-06-01 14:31:00
T0012,C005,P020,1,6800,2025-06-07 18:05:00
T0012,C005,P001,1,780,2025-06-07 18:05:00
T0056,C009,P016,2,3800,2025-06-07 19:00:00
T0056,C009,P018,2,9800,2025-06-07 19:00:00
T0023,C001,P006,1,380,2025-06-20 12:31:00
T0026,C003,P019,1,2600,2025-06-25 14:31:00
T0026,C003,P015,1,4200,2025-06-25 14:31:00
T0040,C007,P005,2,3160,2025-06-30 17:23:00
T0076,C003,P015,5,21000,2025-06-30 19:31:00
T0076,C003,P005,1,1580,2025-06-30 19:31:00
T0076,C003,P011,2,17800,2025-06-30 19:31:00
T0005,C005,P009,2,640,2025-07-01 16:12:00
T0005,C005,P008,1,540,2025-07-01 16:12:00
T0005,C005,P012,1,2400,2025-07-01 16:12:00
T0022,C005,P001,2,1560,2025-07-01 21:44:00
T0010,C006,P020,1,6800,2025-07-07 12:00:00
T0041,C010,P009,1,320,2025-07-07 15:05:00
T0086,C003,P017,1,890,2025-07-09 13:00:00
T0086,C003,P012,5,12000,2025-07-09 13:00:00
T0024,C003,P020,2,13600,2025-07-13 11:23:00
T0063,C006,P016,2,3800,2025-07-13 15:58:00
T0063,C006,P013,2,11200,2025-07-13 15:58:00
T0064,C004,P008,3,1620,2025-07-14 10:31:00
T0093,C007,P015,2,8400,2025-07-25 11:00:00
T0093,C007,P016,1,1900,2025-07-25 11:00:00
T0093,C007,P012,3,7200,2025-07-25 11:00:00
T0093,C007,P014,2,7600,2025-07-25 11:00:00
T0014,C009,P011,1,8900,2025-07-29 10:31:00
T0014,C009,P002,2,1240,2025-07-29 10:31:00
T0080,C002,P009,5,1600,2025-08-02 14:12:00
T0080,C002,P002,5,3100,2025-08-02 14:12:00
T0067,C004,P011,2,17800,2025-08-02 16:58:00
T0067,C004,P014,1,3800,2025-08-02 16:58:00
T0039,C002,P001,1,780,2025-08-05 13:44:00
T0039,C002,P013,3,16800,2025-08-05 13:44:00
T0039,C002,P004,1,1200,2025-08-05 13:44:00
T0059,C003,P013,2,11200,2025-08-08 19:23:00
T0065,C008,P014,1,3800,2025-08-10 13:44:00
T0065,C008,P020,1,6800,2025-08-10 13:44:00
T0065,C008,P013,1,5600,2025-08-10 13:44:00
T0065,C008,P002,5,3100,2025-08-10 13:44:00
T0061,C001,P012,5,12000,2025-08-13 18:05:00
T0079,C008,P017,2,1780,2025-08-16 19:58:00
T0016,C007,P019,1,2600,2025-08-16 20:31:00
T0016,C007,P005,1,1580,2025-08-16 20:31:00
T0008,C010,P015,3,12600,2025-08-17 10:44:00
T0054,C009,P017,1,890,2025-08-19 10:23:00
T0088,C010,P005,1,1580,2025-08-21 15:05:00
T0088,C010,P012,1,2400,2025-08-21 15:05:00
T0088,C010,P018,2,9800,2025-08-21 15:05:00
T0088,C010,P004,1,1200,2025-08-21 15:05:00
T0047,C004,P017,1,890,2025-08-24 15:23:00
T0044,C008,P016,1,1900,2025-08-25 21:31:00
T0044,C008,P006,1,380,2025-08-25 21:31:00
T0044,C008,P020,1,6800,2025-08-25 21:31:00
T0007,C002,P020,3,20400,2025-08-29 13:23:00
T0007,C002,P019,2,5200,2025-08-29 13:23:00
T0007,C002,P002,2,1240,2025-08-29 13:23:00
T0019,C006,P011,1,8900,2025-09-09 11:44:00
T0019,C006,P002,1,620,2025-09-09 11:44:00
T0019,C006,P016,1,1900,2025-09-09 11:44:00
T0036,C010,P005,1,1580,2025-09-25 20:31:00
T0036,C010,P012,1,2400,2025-09-25 20:31:00
T0036,C010,P003,1,450,2025-09-25 20:31:00
T0032,C003,P015,1,4200,2025-09-28 18:44:00
T0032,C003,P016,1,1900,2025-09-28 18:44:00
T0097,C006,P011,1,8900,2025-10-02 18:58:00
T0025,C010,P012,1,2400,2025-10-10 18:05:00
T0038,C009,P002,5,3100,2025-10-10 18:58:00
T0038,C009,P016,1,1900,2025-10-10 18:58:00
T0038,C009,P015,2,8400,2025-10-10 18:58:00
T0038,C009,P010,1,480,2025-10-10 18:58:00
T0045,C004,P019,1,2600,2025-10-21 15:12:00
T0033,C002,P008,1,540,2025-10-22 21:44:00
T0033,C002,P014,1,3800,2025-10-22 21:44:00
T0073,C006,P005,1,1580,2025-10-24 15:00:00
T0048,C006,P017,2,1780,2025-10-27 11:23:00
T0048,C006,P010,3,1440,2025-10-27 11:23:00
T0048,C006,P013,1,5600,2025-10-27 11:23:00
T0042,C007,P020,1,6800,2025-11-01 11:12:00
T0042,C007,P006,2,760,2025-11-01 11:12:00
T0042,C007,P018,1,4900,2025-11-01 11:12:00
T0034,C001,P008,1,540,2025-11-02 17:31:00
T0034,C001,P017,1,890,2025-11-02 17:31:00
T0013,C003,P007,1,690,2025-11-09 14:12:00
T0013,C003,P020,1,6800,2025-11-09 14:12:00
T0078,C010,P016,1,1900,2025-11-10 16:44:00
T0078,C010,P007,2,1380,2025-11-10 16:44:00
T0078,C010,P004,2,2400,2025-11-10 16:44:00
T0003,C010,P003,3,1350,2025-11-25 13:58:00
T0069,C006,P015,1,4200,2025-11-29 13:12:00
T0069,C006,P019,1,2600,2025-11-29 13:12:00
T0020,C003,P015,1,4200,2025-12-01 20:00:00
T0095,C003,P013,2,11200,2025-12-02 14:58:00
T0095,C003,P015,1,4200,2025-12-02 14:58:00
T0087,C001,P020,2,13600,2025-12-13 11:23:00
T0087,C001,P017,1,890,2025-12-13 11:23:00
T0087,C001,P004,1,1200,2025-12-13 11:23:00
T0087,C001,P012,1,2400,2025-12-13 11:23:00
T0060,C002,P009,1,320,2025-12-18 16:05:00
T0060,C002,P018,5,24500,2025-12-18 16:05:00
T0060,C002,P020,1,6800,2025-12-18 16:05:00
T0060,C002,P006,1,380,2025-12-18 16:05:00
T0071,C008,P005,2,3160,2026-01-01 19:31:00
T0071,C008,P018,2,9800,2026-01-01 19:31:00
T0084,C003,P008,1,540,2026-01-06 10:58:00
T0030,C007,P018,2,9800,2026-01-09 17:12:00
T0070,C003,P009,1,320,2026-01-14 10:23:00
T0057,C010,P011,1,8900,2026-01-14 11:31:00
T0035,C002,P019,5,13000,2026-01-23 14:12:00
T0035,C002,P009,3,960,2026-01-23 14:12:00
T0099,C007,P009,1,320,2026-01-28 18:05:00
T0099,C007,P010,3,1440,2026-01-28 18:05:00
T0049,C001,P005,1,1580,2026-01-30 19:44:00
T0049,C001,P004,3,3600,2026-01-30 19:44:00
T0049,C001,P011,1,8900,2026-01-30 19:44:00
T0066,C008,P007,2,1380,2026-02-05 13:00:00
T0074,C002,P004,1,1200,2026-02-10 11:12:00
T0074,C002,P017,1,890,2026-02-10 11:12:00
T0017,C003,P014,1,3800,2026-02-11 12:05:00
T0017,C003,P019,1,2600,2026-02-11 12:05:00
T0017,C003,P017,1,890,2026-02-11 12:05:00
T0098,C010,P017,1,890,2026-02-11 17:44:00
T0098,C010,P002,1,620,2026-02-11 17:44:00
T0009,C002,P009,1,320,2026-02-12 12:00:00
T0052,C006,P006,1,380,2026-02-23 20:58:00
T0018,C003,P017,1,890,2026-02-24 20:44:00
T0018,C003,P012,1,2400,2026-02-24 20:44:00
T0021,C003,P014,2,7600,2026-02-27 15:05:00
T0068,C008,P005,1,1580,2026-03-07 18:44:00
T0068,C008,P012,1,2400,2026-03-07 18:44:00
T0072,C004,P020,1,6800,2026-03-14 19:00:00
T0031,C005,P005,3,4740,2026-03-16 18:23:00
T0031,C005,P012,1,2400,2026-03-16 18:23:00
T0051,C002,P019,2,5200,2026-03-20 12:44:00
T0051,C002,P009,1,320,2026-03-20 12:44:00
T0051,C002,P015,1,4200,2026-03-20 12:44:00
T0027,C010,P001,1,780,2026-03-23 20:05:00
T0027,C010,P009,1,320,2026-03-23 20:05:00
T0090,C007,P016,2,3800,2026-03-31 14:31:00
T0090,C007,P004,1,1200,2026-03-31 14:31:00
T0006,C003,P015,1,4200,2026-03-31 17:05:00
T0006,C003,P008,1,540,2026-03-31 17:05:00
T0006,C003,P012,1,2400,2026-03-31 17:05:00
